image,pattern,width,height,pixels,filter,filter_width,filter_height,version,repeat,time_ms,verified
gradient_512,0,512,512,262144,emboss_3x3,3,3,cpu_single,1,1.399671,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_global,1,0.131510,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_tiled,1,0.104619,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_constant,1,0.106071,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_tiled_constant,1,0.102476,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,cpu_single,2,1.900060,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_global,2,0.110808,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_tiled,2,0.103597,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_constant,2,0.101755,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_tiled_constant,2,0.097579,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,cpu_single,3,1.525391,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_global,3,0.101545,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_tiled,3,0.095836,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_constant,3,0.095896,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_tiled_constant,3,0.095164,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,cpu_single,4,1.421082,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_global,4,0.102526,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_tiled,4,0.095085,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_constant,4,0.094414,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_tiled_constant,4,0.094353,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,cpu_single,5,1.393359,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_global,5,0.098330,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_tiled,5,0.094795,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_constant,5,0.094543,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_tiled_constant,5,0.094114,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,cpu_single,6,1.385788,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_global,6,0.097137,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_tiled,6,0.094954,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_constant,6,0.094424,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_tiled_constant,6,0.094584,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,cpu_single,7,1.420792,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_global,7,0.096025,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_tiled,7,0.094845,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_constant,7,0.095466,1
gradient_512,0,512,512,262144,emboss_3x3,3,3,gpu_tiled_constant,7,0.094294,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,cpu_single,1,1.435203,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_global,1,0.110368,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_tiled,1,0.096248,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_constant,1,0.094754,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_tiled_constant,1,0.094705,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,cpu_single,2,1.378428,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_global,2,0.095916,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_tiled,2,0.094804,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_constant,2,0.094414,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_tiled_constant,2,0.094353,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,cpu_single,3,1.376024,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_global,3,0.097398,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_tiled,3,0.095585,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_constant,3,0.094855,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_tiled_constant,3,0.094594,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,cpu_single,4,1.400440,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_global,4,0.103488,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_tiled,4,0.094824,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_constant,4,0.094523,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_tiled_constant,4,0.094764,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,cpu_single,5,1.426720,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_global,5,0.096718,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_tiled,5,0.094193,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_constant,5,0.094544,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_tiled_constant,5,0.100022,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,cpu_single,6,1.398187,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_global,6,0.098770,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_tiled,6,0.093823,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_constant,6,0.093332,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_tiled_constant,6,0.093143,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,cpu_single,7,1.391457,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_global,7,0.094774,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_tiled,7,0.093392,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_constant,7,0.094503,1
gradient_512,0,512,512,262144,sharpen_3x3,3,3,gpu_tiled_constant,7,0.093522,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,cpu_single,1,3.336596,1
gradient_512,0,512,512,262144,gaussian_5x5,5,5,gpu_global,1,0.108637,1
